Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Virginia,11/1 - 11/4@@23681,"2,202 LV@@2202",AtlasIntel,50.9,45.5,D+ 5.4@@-5.4,1.893952,D
Virginia,10/27 - 10/29@@23676,600 LV@@600,Cygnal,50.3,42.7,D+ 7.6@@-7.6,0.9946496,D
Virginia,10/19 - 10/23@@23668,"1,004 LV@@1004",The Washington Post,49,43,D+ 6@@-6,0.9378279,D
Virginia,11/2 - 11/3@@23682,450 LV@@450,Research Co.,51,45,D+ 6@@-6,0.8516576,D
Virginia,10/28 - 10/30@@23677,520 LV@@520,Blueprint Polling,45.2,44.5,D+ 0.7@@-.7,0.738071,D
Virginia,10/24 - 10/25@@23673,"1,014 LV@@1014",Rasmussen Reports,48,46,D+ 2@@-2,0.6593655,D
Virginia,10/25 - 10/29@@23674,851 LV@@851,Roanoke College,51,41,D+ 10@@-10,0.6307525,D
Virginia,10/1 - 10/25@@23650,"2,015 LV@@2015",YouGov,52,44,D+ 8@@-8,0.5323209,D
Virginia,9/28 - 10/4@@23647,800 LV@@800,Christopher Newport University,52,41,D+ 11@@-11,0.1538925,D
Virginia,9/22 - 9/24@@23641,860 LV@@860,Emerson College,52.7,46.2,D+ 6.5@@-6.5,0,D
Virginia,7/12 - 7/13@@23569,544 LV@@544,Florida Atlantic/Mainstreet,44.5,40,D+ 4.5@@-4.5,0,D
Virginia,7/14 - 7/15@@23571,"1,000 RV@@1000",Emerson College,44.5,46.7,R+ 2.2@@2.2,0,R
Virginia,9/4 - 9/8@@23623,"1,005 LV@@1005",The Washington Post,50.5,42.5,D+ 8@@-8,0,D
Virginia,8/30 - 9/8@@23618,873 LV@@873,Morning Consult,51.97,42.24,D+ 9.7@@-9.7,0,D
Virginia,9/19 - 9/22@@23638,"1,144 LV@@1144",Rasmussen Reports,49,46,D+ 3@@-3,0,D
Virginia,7/9 - 7/12@@23566,661 LV@@661,NYT/Siena,46,41.5,D+ 4.5@@-4.5,0,D
Virginia,8/26 - 9/6@@23614,749 RV@@749,Virginia Commonwealth University,49.4,35.7,D+ 13.7@@-13.7,0,D
Virginia,7/14 - 7/15@@23571,265 LV@@265,Florida Atlantic/Mainstreet,42,46,R+ 4@@4,0,R
Virginia,9/16 - 9/25@@23635,762 RV@@762,Virginia Commonwealth University,47.4,36.6,D+ 10.8@@-10.8,0,D
Virginia,9/9 - 9/18@@23628,899 LV@@899,Morning Consult,50.76,44.44,D+ 6.3@@-6.3,0,D
Virginia,8/12 - 8/16@@23600,691 LV@@691,Roanoke College,46,43,D+ 3@@-3,0,D
Virginia,9/3 - 9/9@@23622,756 LV@@756,Repass,47.5,46,D+ 1.5@@-1.5,0,D